áísaiksisto'simma,áísaiksisto'simm,áísaiksisto'simm,áísaiksisto'simm,NA,,"changed m to mm; pers, elsewhere assumed"
áísaiksisttoowa,áísaiksisttoo,áísaiksisttoo,áísaiksisttoo,NA,,"pers, elsewhere assumed"
áísaisttoowa,áísaisttoo,áísaisttoo,áísaisttoo,NA,,pers assumed
áísapikinao'takiwa,áísapikinao'taki,áísapikinao'taki,áísapikinao'taki,NA,,"pers, elsewhere assumed"
áísátsaakiwa,áísátsaaki,áísátsaaki,áísátsaaki,NA,,pers assumed
áísínaakiohpiwa,áísínaakiohpi,áísínaakiohpi,áísínaakiohpi,NA,,"pers, elsewhere assumed"
áísiníkiihpa,áísiníkiihp,áísiníkiihp,áísiníkiihp,NA,,"pers, elsewhere assumed"
áísokinakiáakiiwa,áísokinakiáakii,áísokinakiáakii,áísokinakiáakii,NA,,"pers, elsewhere assumed"
áísokinakiwa,áísokinaki,áísokinaki,áísokinaki,NA,,"pers, elsewhere assumed"
áísopomitaka'siwa,áísopomitaka'si,áísopomitaka'si,áísopomitaka'si,NA,,"pers, elsewhere assumed"
áíssimihkaawa,áíssimihkaa,áíssimihkaa,áíssimihkaa,NA,,"pers, elsewhere assumed"
áíssko'kíínaawa,áíssko'kíínaa,áíssko'kíínaa,áíssko'kíínaa,NA,,"pers, elsewhere assumed"
áíssksinimá'tsaawa,áíssksinimá'tsaa,áíssksinimá'tsaa,áíssksinimá'tsaa,NA,,"pers, elsewhere assumed"
áíssksinima'tstohkiwa,áíssksinima'tstohki,áíssksinima'tstohki,áíssksinima'tstohki,NA,,elsewhere assumed
áísskssíinainikimma,áísskssíinainikimm,áísskssíinainikimm,áísskssíinainikimm,NA,,"pers, elsewhere assumed"
aisstsinika'siima,aisstsinika'siim,aisstsinika'siim,aisstsinika'siim,NA,,"pers, elsewhere assumed"
áítapióoyiwa,áítapióoyi,áítapióoyi,áítapióoyi,NA,,"pers, elsewhere assumed"
áítapisskatsimaawa,áítapisskatsimaa,áítapisskatsimaa,áítapisskatsimaa,NA,,"pers, elsewhere assumed"
aitsikiihkaawa,aitsikiihkaa,aitsikiihkaa,aitsikiihkaa,NA,,"pers, elsewhere assumed"
áítsiyihka'siwa,áítsiyihka'si,áítsiyihka'si,áítsiyihka'si,NA,,"pers, elsewhere assumed"
a'kahkaakiiwa,a'kahkaakii,a'kahkaakii,a'kahkaakii,NA,,pers assumed
ákaitapiiwa,ákaitapii,ákaitapii,ákaitapii,NA,,"pers, elsewhere assumed"
akkáyssksisikaanaisskiinaawa,akkáyssksisikaanaisskiinaa,akkáyssksisikaanaisskiinaa,akkáyssksisikaanaisskiinaa,NA,,"pers, elsewhere assumed"
akkáyssksisiwa,akkáyssksisi,akkáyssksisi,akkáyssksisi,NA,,"pers, elsewhere assumed"
akoksskaaapiikoana,akoksskaaapiikoan2,akoksskaaapiikoan2,akoksskaaapiikoan2,NA,,"pers, elsewhere assumed"
aksstsííwa,aksstsíí,aksstsíí,aksstsíí,NA,,"pers, elsewhere assumed"
