PS/ippssa'kapp,ippssa'kapp,ippssa'kapp,ippssa'kapp,PSBOUND2,,"initial, pers assumed"
PS/ipsst,i2psst,i2psst,i2psst,PSBOUND2,,
PS/ipsst,pisst,,,PSBOUND2,,
PS/ipsstsík,i2psstsík,i2psstsík,i2psstsík,PSBOUND2,,
PS/ipsstsikatt,i2psstsikatt,i2psstsikatt,i2psstsikatt,PSBOUND2,,pers assumed
PS/isakoo(w/y),sakooG,sakooG,sakooG,PSBOUND2,,"isakoo(w/y) seems to be main entry, but sako(o) better underlying representation?"
PS/isimi,simi,i2simi,i2simi,PSBOUND2,,
PS/isinap,sinap,i2sinap,i2sinap,PSBOUND2,,
PS/isitsip,sitsip,i2sitsip,i2sitsip,PSBOUND2,,
PS/iso,i2so,i2so,i2so,PSBOUND2,,
PS/iso,soo,,,PSBOUND2,,
PS/i'sskaan,i2'sskaan,i2'sskaan,i2sskaan,PSBOUND2,,pers assumed
PS/isskihta',isskihta',isskihta',isskihta',PSBOUND2,,"pers, elsewhere assumed"
PS/isspi,isspi,sspi,sspi,PSBOUND2,,
PS/isstohkana,isstohkana,sstohkana,sstohkana,PSBOUND2,,"cf istohkana, consider combining, pers, elsewhere assumed"
PS/isstohkana,istohkana,,,PSBOUND2,,"cf isstohkana, consider combining"
PS/ist,naat,i2st,i2st,PSBOUND2,,"""two, double"", naat more frequent in dictionary"
PS/istaaht,i2staaht,i2staaht,i2staaht,PSBOUND2,,
PS/istaaht,staaht,,,PSBOUND2,,
PS/istohk,niistohk,i2stohk,i2stohk,PSBOUND2,,initial has little evidence
PS/istot,i2stot,i2stot,i2stot,PSBOUND2,,
PS/istsa',i2stsa',i2stsa',i2stsa',PSBOUND2,,
PS/istsa',stsa' ,,,PSBOUND2,,
PS/isttani,i2sttani,i2sttani,i2sttani,PSBOUND2,,
PS/isttani,i2sttani,i2sttani,i2sttani,PSBOUND2,,
PS/isttohk,i2sttohk,i2sttohk,i2sttohk,PSBOUND2,,
PS/istto't,i2stto't,i2stto't,i2stto't,PSBOUND2,,pers assumed
PS/isttsi,i2sttsi,i2sttsi,i2sttsi,PSBOUND2,,
PS/isttsik,i2sttsik,i2sttsik,i2sttsik,PSBOUND2,,
PS/isttsikohpo,i2sttsikohpo,i2sttsikohpo,i2sttsikohpo,PSBOUND2,,
PS/isttsip,i2sttsip,i2sttsip,i2sttsip,PSBOUND2,,pers assumed
PS/isttsitsa,i2sttsitsa,i2sttsitsa,i2sttsitsa,PSBOUND2,,pers assumed
PS/isttssi,i2sttssi,i2sttssi,i2sttssi,PSBOUND2,,
PS/it,it,it,it,PSBOUND2,,
PS/itáak,itáak,itáak,itáak,PSBOUND2,,
PS/i'táám,i'táám,i'táám,i'táám,PSBOUND2,,iitaam variant - relaxer?
PS/i'táám,,,i2'táám,PSBOUND2,,sometimes breaks
PS/itam,itam,itam,itam,PSBOUND2,,
PS/itam,itam,itam,itam,PSBOUND2,,"elsewhere assumed, i2 unknown"
PS/itap,itap,itap,itap,PSBOUND2,,
PS/itap,%^IMPitap,itap,itap,PSBOUND2,,assuming behaves like itapoo initial imperative
PS/itapiksst,itapiksst,itapiksst,itapiksst,PSBOUND2,,pers assumed
PS/iton,iton,iton,iton,PSBOUND2,,"initial, pers assumed"
PS/ito't,ito't,ito't,ito't,PSBOUND2,,"initial, pers assumed"
PS/itsiiy,itsiiy,itsiiy,itsiiy,PSBOUND2,,
PS/itsik,itsik,itsik,itsik,PSBOUND2,,initial i ~ a variation in imp
PS/itsik,atsik,,,PSBOUND2,,require IMP in flags?
PS/itsin,itsin,itsin,itsin,PSBOUND2,,
PS/i'tsin,i'tsin,i'tsin,i'tsin,PSBOUND2,,
PS/itsisa,itsisa,itsisa,itsisa,PSBOUND2,,pers assumed
PS/i'tsk,i'tsk,i'tsk,i'tsk,PSBOUND2,,
PS/itssap,itssap,itssap,itssap,PSBOUND2,,not in original list
PS/itsst,itsst,itsst,itsst,PSBOUND2,,"initial, pers assumed"
PS/iyoomok,iyoomok,iyoomok,iyoomok,PSBOUND2,,"pers, elsewhere assumed; uncertain relationship with oomok"
PS/kaak,kaak,%^SPi2kaak,i2kak,PSBOUND2,,
PS/kaat,kaat,,,PSBOUND2,,not sure this occurs after other prestems
PS/káátsisto,káátsisto,,,PSBOUND2,,evidence lacking
PS/kakanott,i2kakanott,i2kakanott,i2kakanott,PSBOUND2,,pers assumed
PS/kakanott,kakanott,,,PSBOUND2,,perhaps more nominal
PS/kiihtsip,kiihtsip,ikiihtsip,ikiihtsip,PSBOUND2,,"pers, elsewhere assumed (SP in ""pinto"", but could be for semantic reasons)"
PS/kínnak,kínnak,,,PSBOUND2,,evidence lacking
PS/kipita,kipita,i2ppita,i2ppita,PSBOUND2,,pers assumed
PS/kipp,kipp,ipp,ipp,PSBOUND2,,"pers assumed, SP previously included but evidence lacking"
PS/ki'tsi,ki'tsi,i2ki'tsi,i2ki'tsi,PSBOUND2,,
PS/komono,komono,ohkomono,ohkomono,PSBOUND2,,pers assumed
PS/kotski,kootski,i2kotski,i2kotski,PSBOUND2,,pers assumed
PS/ksikk,ksikk,i2ksikk,i2ksikk,PSBOUND2,,
PS/ksis,ksis,i2ksis,i2ksis,PSBOUND2,,
PS/ksisttoyi,ksisttoyi,i2ksisttoyi,i2ksisttoyi,PSBOUND2,,i2 assumed
PS/maak,maak,yaak,yaak,PSBOUND2,,"""planned"""
PS/maam,maam,%^SPam,am,PSBOUND2,,elsewhere assumed
PS/maan,maan,an,an,PSBOUND2,,"VLV a?, pers assumed, SP seen for ""newborn"" but might be semantic"
PS/maan,,,omaan,PSBOUND2,,VLV a?
PS/mak,mak,ok,ok,PSBOUND2,,
PS/ma'k,maak,%^SPimaak,,PSBOUND2,,"""why"""
PS/ma'k,ma'k,%^SPima'k,,PSBOUND2,,pers assumed to be like maak
PS/maká,maká,oka,oka,PSBOUND2,,"pers, elsewhere assumed based on Shetland pony"
PS/máóhk,maohk,omaohk,omaohk,PSBOUND2,,
PS/ma'ok,ma'ok,%^SPima'ok,,PSBOUND2,,
PS/mato,mato,oto,oto,PSBOUND2,,
PS/matoom,matoom,otoom,otoom,PSBOUND2,,
PS/matsi(w/y),matsiG,itsiG,itsiG,PSBOUND2,,i > o before w?
PS/matsowá'p,matsowá'p,itsowá'p,itsowá'p,PSBOUND2,,pers assumed
PS/matt,matt,%^SPimatt,matt,PSBOUND2,,sometimes att initially?
PS/mattsi,mattsi,attsi,attsi,PSBOUND2,,"VLV a?, pers assumed, might be used more for nouns?"
PS/mattsistá',mattsistá',%^SPimattsistá',mattsistá',PSBOUND2,,based on matt
PS/máttsit,máttsit,%^SPimáttsit,máttsit,PSBOUND2,,"pers, elsewhere assumed, based on matt"
PS/mii,mii,i2i,i2i,PSBOUND2,,"pers, elsewhere assumed based on be hard, durable"
PS/miiksist,miiksist,omiiksist,omiiksist,PSBOUND2,,pers assumed
PS/miinohk,miinohk,iinohk,iinohk,PSBOUND2,,"pers assumed, breaking unsure"
PS/míístap,míístap,yíístap,yíístap,PSBOUND2,,
PS/mi'k,mi'k,i2'k,i2'k,PSBOUND2,,
PS/mi'ki,mi'ki,i2'ki,i2'ki,PSBOUND2,,
PS/mikksk,mikksk,yikksk,yikksk,PSBOUND2,,
PS/mi'kotsi,mi'kotsi,i2'kotsi,i2'kotsi,PSBOUND2,,cf mi'ki
PS/misam,misam,isam,isam,PSBOUND2,,
PS/misam,misam,i2sam,i2sam,PSBOUND2,,
PS/misam,i2sam,,,PSBOUND2,,
PS/missk,missk,isk,isk,PSBOUND2,,"pers, elsewhere assumed, i2 unknown"
PS/misst,misst,,,PSBOUND2,,evidence lacking
PS/mokamo't,mokamo't,okamo't,okamo't,PSBOUND2,,
PS/mo'tóí,mo'tóí,,,PSBOUND2,,evidence lacking
PS/náám,náám,i2aam,i2aam,PSBOUND2,,"pers assumed, VLV a?"
PS/naat,naat,%^SPinaat,inaat,PSBOUND2,,"""fortunately"", elsewhere assumed, i2 unknown"
PS/naato(w/y),waatoG,waatoG,watoG,PSBOUND2,,
PS/naato(w/y),naatoG,,waatoG,PSBOUND2,,n variant more prevalent in nouns?
PS/naatsa,naatsa,,,PSBOUND2,,"no evidence for pers, elsewhere"
PS/naaw,naaw,,,PSBOUND2,,"no evidence for pers, elsewhere"
PS/niistsikáp,niistsikáp,i2stsikáp,i2stsikáp,PSBOUND2,,"pers assumed, based on ist"
PS/niit,niit,%^SPiniit,i2it,PSBOUND2,,"genuine, there are homophonous prestems"
PS/niit,,i2it,,PSBOUND2,,"genuine, there are homophonous prestems"
PS/níítaak,níítaak,í2ítaak,í2ítaak,PSBOUND2,,pers assumed
PS/niitá'p,niitá'p,i2itá'p,i2itá'p,PSBOUND2,,
PS/niitsi(w/y),niitsiG,,,PSBOUND2,,"evidence lacking, possible relationship with niita'p"
PS/nimm,nimm,,,PSBOUND2,,"no evidence for pers, elsewhere"
PS/ni'tóóhk,ni'tóóhk,i2'tóóhk,i2'tóóhk,PSBOUND2,,pers assumed
